Title,First_Name,Middle_Name,Last_Name,Member_ID,Member_Suffix,Birth_Date,Gender_Code,Member_Record_Number,Social_Security_Number,Member_Type_Code,Original_Effective_Date,Relationship_to_Subscriber_Code,Relationship_to_Subscriber_Code_Label
MS,Eli,R,Baker,30001,II,1990-07-12,M,500000,,1,2022-05-01,2,CHILD
MR,Omar,K,Okafor,30002,,1990-11-16,F,500001,100000037,2,2016-09-01,19,SELF
MS,Omar,I,Novak,30003,,1998-04-03,M,500002,,2,2016-05-01,18,CHILD
MS,Ravi,O,Weiss,30004,,1948-12-22,F,500003,100000111,2,2019-02-01,18,OTHER
MS,Nina,O,Baker,30005,SR,1964-10-11,M,500004,,1,2010-06-01,19,SELF
MR,Eli,N,Hayes,30006,JR,1988-08-15,F,500005,100000185,2,2018-10-01,19,OTHER
MR,Kai,T,Dubois,30007,,1962-01-02,M,500006,,3,2014-10-01,1,CHILD
MRS,Liam,O,Singh,30008,,1950-06-12,M,500007,100000259,,2018-06-01,2,SELF
DR,Leo,K,Weiss,30009,II,1996-11-16,M,500008,,2,2021-08-01,2,SPOUSE
MS,Leo,A,Patel,30010,,1977-06-23,M,500009,100000333,2,2021-05-01,18,SPOUSE
MRS,Anna,I,Okafor,30011,SR,1981-02-06,M,500010,,3,2012-03-01,1,CHILD
DR,Noah,N,Dubois,30012,SR,1974-09-22,M,500011,100000407,1,2021-03-01,1,CHILD
MRS,Sara,A,Costa,30013,SR,1960-06-28,M,500012,,2,2014-06-01,2,CHILD
MS,Liam,M,Kim,30014,SR,1983-05-28,M,500013,100000481,3,2023-06-01,1,CHILD
MRS,Anna,M,Kim,30015,SR,1994-11-15,F,500014,,3,2021-09-01,18,SPOUSE
MR,Kai,M,Novak,30016,,1947-04-14,F,500015,100000555,,2021-09-01,2,
MS,Mia,K,Silva,30017,II,1944-11-28,M,500016,,1,2010-12-01,19,SPOUSE
MRS,Liam,O,Kim,30018,II,1983-10-24,M,500017,100000629,2,2012-10-01,1,SELF
DR,Anna,K,Singh,30019,JR,1994-09-18,F,500018,,2,2012-08-01,1,OTHER
DR,Eli,Z,Patel,30020,JR,1987-12-23,M,500019,100000703,1,2013-05-01,1,OTHER
MRS,Ava,O,Mori,30021,JR,1992-03-16,F,500020,,1,2023-07-01,19,SPOUSE
MR,Nina,L,Rivera,30022,JR,1943-11-20,M,500021,100000777,1,2013-02-01,2,OTHER
MS,Anna,I,Costa,30023,II,1965-03-07,M,500022,,3,2014-08-01,1,CHILD
MRS,Nina,L,Silva,30024,JR,1977-01-27,F,500023,100000851,,2020-06-01,1,SPOUSE
DR,Kai,M,Singh,30025,,1977-10-21,M,500024,,3,2021-05-01,18,CHILD
MR,Nina,Z,Novak,30026,,1987-09-15,F,500025,100000925,2,2022-01-01,2,SELF
MR,Ivy,R,Chen,30027,JR,1944-10-27,F,500026,,3,2014-08-01,1,SELF
DR,Nina,A,Rivera,30028,JR,1988-06-21,F,500027,100000999,3,2020-09-01,19,SELF
MS,Mia,K,Kim,30029,JR,1985-01-25,M,500028,,2,2016-09-01,19,SPOUSE
MS,Mia,M,Rivera,30030,JR,1960-08-24,M,500029,100001073,1,2012-09-01,19,SELF
DR,Eli,M,Kim,30031,II,1947-08-22,M,500030,,1,2019-03-01,2,SELF
MR,Zoe,T,Okafor,30032,,1970-12-28,M,500031,100001147,,2023-03-01,19,
MR,Ivy,E,Hayes,30033,SR,1972-08-01,M,500032,,1,2012-04-01,2,SELF
MS,Liam,M,Mori,30034,SR,1943-04-03,F,500033,100001221,2,2023-12-01,18,OTHER
MRS,Ava,T,Rivera,30035,II,1959-07-13,M,500034,,3,2014-12-01,2,CHILD
DR,Liam,Z,Weiss,30036,JR,1940-05-26,F,500035,100001295,3,2020-10-01,19,OTHER
MS,Ravi,A,Larsen,30037,,1976-02-19,M,500036,,2,2019-11-01,18,SPOUSE
MS,Zoe,E,Larsen,30038,JR,1958-02-07,F,500037,100001369,1,2010-04-01,19,OTHER
MR,Leo,T,Okafor,30039,,1990-01-16,F,500038,,3,2012-08-01,18,SELF
MS,Omar,O,Costa,30040,II,1992-11-16,F,500039,100001443,,2020-08-01,2,SELF
MS,Anna,Z,Mori,30041,II,1956-08-28,M,500040,,3,2023-10-01,18,SPOUSE
MR,Nina,M,Novak,30042,SR,1999-03-10,F,500041,100001517,1,2013-07-01,1,OTHER
MS,Ava,N,Silva,30043,II,1999-03-25,M,500042,,3,2018-05-01,2,OTHER
MRS,Kai,T,Weiss,30044,JR,1943-09-14,M,500043,100001591,1,2020-05-01,19,OTHER
MR,Omar,Z,Singh,30045,JR,1991-11-25,M,500044,,1,2011-11-01,19,SELF
DR,Eli,L,Patel,30046,,1952-07-14,M,500045,100001665,1,2013-11-01,1,CHILD
MR,Ivy,T,Iqbal,30047,JR,1954-03-15,F,500046,,1,2013-08-01,18,SPOUSE
MS,Ava,E,Kim,30048,II,1970-01-03,F,500047,100001739,,2021-11-01,18,
MRS,Eli,L,Patel,30049,,1942-09-18,M,500048,,3,2017-04-01,18,CHILD
MR,Mia,M,Larsen,30050,JR,1992-01-17,F,500049,100001813,1,2017-03-01,19,SELF
DR,Ravi,E,Kim,30051,JR,1942-05-25,F,500050,,3,2013-11-01,18,SELF
MR,Leo,S,Silva,30052,JR,1990-02-01,M,500051,100001887,3,2011-06-01,19,OTHER
MS,Kai,I,Costa,30053,II,1961-08-10,F,500052,,3,2013-03-01,18,CHILD
