TX_ID,ACCT_ID,FIRST_NM,LAST_NM,TX_DTTM,TX_AMT,TX_TYPE_CD,BAL_AMT,TX_DESC,CRDT_SCORE,CUST_ID
5001,1001,MAX,SINGH,2024-01-14 10:28:00,2131.24,DR,42329.05,CASH DEPOSIT,420,70031
5002,1002,OMAR,SILVA,2024-01-14 05:49:00,-1238.81,CR,91291.88,ONLINE TRANSFER,720,70032
5003,1002,IVY,COSTA,2024-01-25 21:01:00,2446.85,CR,86284.15,POS PURCHASE,715,70032
5004,1002,NINA,PATEL,2024-01-11 17:00:00,2070.53,CR,72185.35,POS PURCHASE,409,70032
5005,1003,RAVI,SILVA,2024-01-08 01:48:00,1987.27,DR,91905.99,CASH DEPOSIT,665,70033
5006,1003,NOAH,LARSEN,2024-01-21 04:17:00,-4555.48,DR,4526.18,ATM WITHDRAWAL,606,70033
5007,1004,TOM,LARSEN,2024-01-19 17:36:00,1927.32,CR,7595.71,CARD PAYMENT,569,70034
5008,1004,IVY,WEISS,2024-01-14 03:40:00,-4801.96,DR,7596.44,UTILITY PAYMENT,604,70034
5009,1005,ANNA,BAKER,2024-01-22 23:20:00,3562.63,DR,14654.16,POS PURCHASE,709,70035
5010,1006,RAVI,WEISS,2024-01-04 07:27:00,-2333.78,DR,76563.45,POS PURCHASE,529,70036
5011,1006,ZOE,KIM,2024-01-03 11:16:00,2074.32,DR,18404.35,POS PURCHASE,544,70036
5012,1006,KAI,HAYES,2024-01-17 20:46:00,-3760.22,DR,55557.41,SALARY CREDIT,531,70036
5013,1006,LEO,HAYES,2024-01-03 00:14:00,1398.76,DR,52291.55,CARD PAYMENT,409,70036
5014,1007,RAVI,BAKER,2024-01-19 12:01:00,-1979.06,CR,71132.99,CARD PAYMENT,314,70037
5015,1007,OMAR,RIVERA,2024-01-20 18:11:00,-4692.28,CR,61492.13,SALARY CREDIT,358,70037
5016,1007,ELI,MORI,2024-01-19 18:02:00,762.14,CR,24456.57,ONLINE TRANSFER,792,70037
5017,1008,LIAM,HAYES,2024-01-20 07:27:00,-2770.77,CR,10004.32,ONLINE TRANSFER,839,70038
5018,1008,MIA,LARSEN,2024-01-18 10:38:00,3695.42,CR,11557.56,CARD PAYMENT,769,70038
5019,1009,IVY,SILVA,2024-01-17 21:17:00,4196.87,CR,45419.7,CARD PAYMENT,717,70039
5020,1009,NINA,IQBAL,2024-01-06 23:31:00,4775.96,DR,62277.55,UTILITY PAYMENT,447,70039
5021,1009,NOAH,DUBOIS,2024-01-13 14:25:00,4701.55,DR,20555.05,ATM WITHDRAWAL,343,70039
5022,1010,RAVI,OKAFOR,2024-01-22 07:02:00,4640.71,CR,20932.35,CARD PAYMENT,706,70040
5023,1011,MAX,LARSEN,2024-01-06 03:56:00,2974.74,DR,5159.76,UTILITY PAYMENT,687,70041
5024,1011,MAX,RIVERA,2024-01-19 01:49:00,1749.68,CR,78714.3,CASH DEPOSIT,399,70041
5025,1012,MAX,BAKER,2024-01-10 04:51:00,4295.63,DR,42589.39,STANDING ORDER,337,70042
5026,1013,SARA,KIM,2024-01-12 13:53:00,909.8,CR,183.61,CARD PAYMENT,753,70043
5027,1014,KAI,DUBOIS,2024-01-16 02:15:00,-3228.99,CR,60295.12,STANDING ORDER,830,70044
5028,1014,NINA,RIVERA,2024-01-21 10:48:00,-1635.45,DR,27781.05,ONLINE TRANSFER,725,70044
5029,1015,SARA,LARSEN,2024-01-22 09:43:00,2270.64,DR,39709.34,ATM WITHDRAWAL,508,70045
5030,1015,IVY,SINGH,2024-01-08 13:54:00,-1104.91,DR,31708.81,CARD PAYMENT,763,70045
5031,1015,OMAR,SINGH,2024-01-06 06:24:00,1934.9,CR,94010.98,CASH DEPOSIT,729,70045
5032,1016,MAX,PATEL,2024-01-04 10:35:00,4848.39,DR,18245.85,STANDING ORDER,461,70046
5033,1016,IVY,IQBAL,2024-01-19 13:34:00,-3194.92,CR,26445.54,CASH DEPOSIT,627,70046
5034,1016,IVY,CHEN,2024-01-21 05:22:00,1315.18,DR,85178.6,ONLINE TRANSFER,747,70046
5035,1016,LEO,SINGH,2024-01-03 13:17:00,4673.29,DR,86505.32,CARD PAYMENT,387,70046
5036,1017,ZOE,MORI,2024-01-27 06:23:00,3456.41,CR,13372.52,STANDING ORDER,429,70047
5037,1017,SARA,IQBAL,2024-01-27 07:37:00,1576.05,DR,37329.04,UTILITY PAYMENT,417,70047
5038,1018,AVA,PATEL,2024-01-06 01:47:00,2886.88,DR,19493.46,SALARY CREDIT,561,70048
5039,1019,MAX,KIM,2024-01-03 18:27:00,2976.8,CR,57492.9,SALARY CREDIT,347,70049
