ACCT_ID,CUST_ID,FIRST_NM,LAST_NM,CUST_ADDR,CUST_PHN,CUST_EML_ADDR,AGE,DOB,CUST_TYP
1001,70031,AVA,BAKER,46 High Street,2580606026,c1001@mail.example,36,1952-07-23,CORP
1002,70032,NINA,WEISS,857 High Street,2317518731,c1002@mail.example,35,1969-08-06,RET
1003,70033,IVY,SILVA,449 High Street,2072328507,c1003@mail.example,71,1963-03-23,CORP
1004,70034,AVA,RIVERA,422 High Street,2478922435,c1004@mail.example,55,1986-01-27,CORP
1005,70035,NINA,COSTA,427 High Street,2730655404,c1005@mail.example,49,1968-09-04,CORP
1006,70036,ANNA,MORI,341 High Street,2869073879,c1006@mail.example,66,1969-07-06,RET
1007,70037,ANNA,WEISS,713 High Street,2044664921,c1007@mail.example,53,1989-10-06,RET
1008,70038,NINA,BAKER,504 High Street,2614236516,c1008@mail.example,59,1962-12-24,RET
1009,70039,RAVI,KIM,359 High Street,2734937303,c1009@mail.example,67,1993-08-26,RET
1010,70040,RAVI,RIVERA,99 High Street,2830595421,c1010@mail.example,69,1960-11-08,RET
1011,70041,NOAH,COSTA,342 High Street,2255313950,c1011@mail.example,63,1994-08-11,RET
1012,70042,IVY,PATEL,18 High Street,2779008976,c1012@mail.example,64,1961-09-21,CORP
1013,70043,ANNA,NOVAK,950 High Street,2559240045,c1013@mail.example,64,1961-03-24,CORP
1014,70044,LEO,NOVAK,554 High Street,2649023967,c1014@mail.example,28,1979-06-11,CORP
1015,70045,ELI,LARSEN,135 High Street,2628234781,c1015@mail.example,52,1972-09-23,CORP
1016,70046,AVA,OKAFOR,286 High Street,2708241566,c1016@mail.example,48,1967-09-09,CORP
1017,70047,ANNA,SILVA,717 High Street,2933394241,c1017@mail.example,35,1961-03-01,RET
1018,70048,AVA,KIM,413 High Street,2183309548,c1018@mail.example,49,1981-01-11,RET
1019,70049,ZOE,DUBOIS,433 High Street,2607994168,c1019@mail.example,48,1958-10-05,CORP
1020,70050,LEO,RIVERA,196 High Street,2489371813,c1020@mail.example,79,1959-04-13,CORP
1021,70051,TOM,HAYES,3 High Street,2020270811,c1021@mail.example,68,1975-07-12,RET
1022,70052,NINA,SILVA,925 High Street,2297301847,c1022@mail.example,25,1981-03-09,RET
